,Data_Coleta,Estabelecimento,Produto,Marca,Preco,Quantidade,PPK
0,2022-09-12,SUP-0,Leite,Parmalat,6.28,1.0,6.28
1,2022-09-12,SUP-1,Tomate,,6.99,1.0,6.99
2,2022-09-12,SUP-2,Arroz,Namorado,17.98,5.0,3.596
3,2022-09-12,SUP-2,Arroz,Broto Legal,22.69,5.0,4.538
4,2022-09-12,SUP-0,Feijão,Broto Legal,10.98,1.0,10.98
5,2022-09-12,SUP-3,Açúcar,União,4.39,1.0,4.39
6,2022-09-12,SUP-1,Leite,Lider,6.99,1.0,6.99
7,2022-09-12,SUP-4,Manteiga,Qualy,10.98,0.5,21.96
8,2022-09-12,SUP-3,Óleo,Liza,8.99,0.9,9.98888888888889
9,2022-09-12,SUP-3,Óleo,Soya,8.99,0.9,9.98888888888889
10,2022-09-12,SUP-1,Óleo,Liza,8.99,0.9,9.98888888888889
11,2022-09-12,SUP-0,Carne Coxão Mole,,42.9,1.0,42.9
12,2022-09-12,SUP-2,Feijão,Nene,7.15,1.0,7.15
13,2022-09-12,SUP-4,Carne Coxão Mole,,42.93,1.0,42.93
14,2022-09-12,SUP-4,Café,Caboclo,17.99,0.5,35.98
15,2022-09-12,SUP-3,Café,Caboclo,17.99,0.5,35.98
16,2022-09-12,SUP-0,Açúcar,Guarani,3.69,1.0,3.69
17,2022-09-12,SUP-1,Óleo,Soya,8.99,0.9,9.98888888888889
18,2022-09-12,SUP-4,Arroz,Prato Fino,26.9,5.0,5.38
19,2022-09-12,SUP-0,Manteiga,Prato Fino,9.0,0.5,18.0
20,2022-09-12,SUP-0,Tomate,,3.75,1.0,3.75
21,2022-09-12,SUP-1,Banana Prata,,9.9,1.0,9.9
22,2022-09-12,SUP-3,Farinha,Renata,6.99,1.0,6.99
23,2022-09-12,SUP-2,Feijão,Solito,7.15,1.0,7.15
24,2022-09-12,SUP-2,Arroz,Biju,17.92,5.0,3.584
25,2022-09-12,SUP-0,Óleo,Vitaliv,8.15,0.9,9.05555555555556
26,2022-09-12,SUP-4,Café,Pilão,22.9,0.5,45.8
27,2022-09-12,SUP-3,Arroz,Tio João,26.99,5.0,5.398
28,2022-09-12,SUP-3,Leite,Shefa,6.48,1.0,6.48
29,2022-09-12,SUP-1,Feijão,Pantera,9.98,1.0,9.98
30,2022-09-12,SUP-1,Manteiga,Doriana,9.98,0.5,19.96
31,2022-09-12,SUP-0,Batata,,4.98,1.0,4.98
32,2022-09-12,SUP-1,Café,Pelé,17.39,0.5,34.78
33,2022-09-12,SUP-3,Carne Coxão Mole,,51.9,1.0,51.9
34,2022-09-12,SUP-3,Arroz,Prato Fino,10.79,2.0,5.395
35,2022-09-12,SUP-3,Manteiga,Prato Fino,7.89,0.5,15.78
36,2022-09-12,SUP-3,Manteiga,Qualy,10.79,0.5,21.58
37,2022-09-12,SUP-4,Feijão,Grão De Campo,9.8,1.0,9.8
38,2022-09-12,SUP-3,Manteiga,Doriana,10.79,0.5,21.58
39,2022-09-12,SUP-3,Manteiga,Vigor,10.79,0.5,21.58
40,2022-09-12,SUP-4,Banana Nanica,,6.99,1.0,6.99
41,2022-09-12,SUP-2,Café,Moraes,13.89,0.5,27.78
42,2022-09-12,SUP-2,Banana Nanica,,6.99,1.0,6.99
43,2022-09-12,SUP-2,Arroz,Solito,17.89,5.0,3.578
44,2022-09-12,SUP-4,Arroz,Camil,10.8,2.0,5.4
45,2022-09-12,SUP-2,Açúcar,União,3.59,1.0,3.59
46,2022-09-12,SUP-4,Farinha,Dona Benta,6.75,1.0,6.75
47,2022-09-12,SUP-1,Café,Caboclo,17.9,0.5,35.8
48,2022-09-12,SUP-3,Leite,Piracanjuba,6.49,1.0,6.49
